Quater,State,Net Interstate Migration,Net Overseas Migration,Number of change
1/09/1988,Australian Capital Territory,-341,477,136
1/09/1988,New South Wales,-7495,21495,14000
1/09/1988,Northern Territory,-143,316,173
1/09/1988,Queensland,8992,7507,16499
1/09/1988,South Australia,-333,2589,2256
1/09/1988,Tasmania,-194,284,90
1/09/1988,Victoria,-2076,12862,10786
1/09/1988,Western Australia,1590,8057,9647
1/12/1988,Australian Capital Territory,-257,326,69
1/12/1988,New South Wales,-7594,16998,9404
1/12/1988,Northern Territory,-141,168,27
1/12/1988,Queensland,9828,5861,15689
1/12/1988,South Australia,138,1533,1671
1/12/1988,Tasmania,-232,184,-48
1/12/1988,Victoria,-3167,10603,7436
1/12/1988,Western Australia,1425,6079,7504
1/03/1989,Australian Capital Territory,472,439,911
1/03/1989,New South Wales,-11342,16594,5252
1/03/1989,Northern Territory,-458,382,-76
1/03/1989,Queensland,15327,5637,20964
1/03/1989,South Australia,573,1708,2281
1/03/1989,Tasmania,92,264,356
1/03/1989,Victoria,-5125,11191,6066
1/03/1989,Western Australia,461,6773,7234
1/06/1989,Australian Capital Territory,12,-162,-150
1/06/1989,New South Wales,-11543,7549,-3994
1/06/1989,Northern Territory,-727,78,-649
1/06/1989,Queensland,12915,2771,15686
1/06/1989,South Australia,-599,835,236
1/06/1989,Tasmania,537,24,561
1/06/1989,Victoria,-2136,4758,2622
1/06/1989,Western Australia,1541,3256,4797
1/09/1989,Australian Capital Territory,35,211,246
1/09/1989,New South Wales,-10427,14092,3665
1/09/1989,Northern Territory,-406,266,-140
1/09/1989,Queensland,11289,4024,15313
1/09/1989,South Australia,-170,1506,1336
1/09/1989,Tasmania,681,159,840
1/09/1989,Victoria,-2340,8958,6618
1/09/1989,Western Australia,1338,4972,6310
1/12/1989,Australian Capital Territory,644,258,902
1/12/1989,New South Wales,-9163,14459,5296
1/12/1989,Northern Territory,-410,106,-304
1/12/1989,Queensland,9441,3434,12875
1/12/1989,South Australia,136,1749,1885
1/12/1989,Tasmania,446,309,755
1/12/1989,Victoria,-1966,9150,7184
1/12/1989,Western Australia,872,3728,4600
1/03/1990,Australian Capital Territory,-106,577,471
1/03/1990,New South Wales,-8884,13847,4963
1/03/1990,Northern Territory,-502,280,-222
1/03/1990,Queensland,11167,3037,14204
1/03/1990,South Australia,267,1540,1807
1/03/1990,Tasmania,481,238,719
1/03/1990,Victoria,-3139,10226,7087
1/03/1990,Western Australia,716,4905,5621
1/06/1990,Australian Capital Territory,757,-31,726
1/06/1990,New South Wales,-7509,9801,2292
1/06/1990,Northern Territory,148,266,414
1/06/1990,Queensland,6205,2647,8852
1/06/1990,South Australia,-485,967,482
1/06/1990,Tasmania,1182,54,1236
1/06/1990,Victoria,-384,5679,5295
1/06/1990,Western Australia,86,3233,3319
